Trade #,Buy Amount (USDT),Sell Gross (USDT),Fee (0.4%),Sell After Fee,Net Profit,Total Capital (USDT),Total Capital (INR),Growth %
69,1.967222,1.996731,0.007987,1.988744,0.021521,2.079663,166.37,107.97
70,1.986894,2.016698,0.008067,2.008631,0.021737,2.101399,168.11,110.14
71,2.006763,2.036865,0.008147,2.028717,0.021954,2.123353,169.87,112.34
72,2.026831,2.057233,0.008229,2.049005,0.022174,2.145527,171.64,114.55
73,2.047099,2.077806,0.008311,2.069495,0.022395,2.167922,173.43,116.79
74,2.06757,2.098584,0.008394,2.09019,0.022619,2.190541,175.24,119.05
75,2.088246,2.11957,0.008478,2.111091,0.022845,2.213387,177.07,121.34
76,2.109128,2.140765,0.008563,2.132202,0.023074,2.23646,178.92,123.65
77,2.13022,2.162173,0.008649,2.153524,0.023305,2.259765,180.78,125.98
78,2.151522,2.183795,0.008735,2.17506,0.023538,2.283303,182.66,128.33
79,2.173037,2.205633,0.008823,2.19681,0.023773,2.307076,184.57,130.71
80,2.194768,2.227689,0.008911,2.218778,0.024011,2.331086,186.49,133.11
81,2.216715,2.249966,0.009,2.240966,0.024251,2.355337,188.43,135.53
82,2.238882,2.272466,0.00909,2.263376,0.024493,2.379831,190.39,137.98
83,2.261271,2.29519,0.009181,2.286009,0.024738,2.404569,192.37,140.46
84,2.283884,2.318142,0.009273,2.30887,0.024986,2.429555,194.36,142.96
85,2.306723,2.341324,0.009365,2.331958,0.025236,2.45479,196.38,145.48
86,2.32979,2.364737,0.009459,2.355278,0.025488,2.480278,198.42,148.03
87,2.353088,2.388384,0.009554,2.378831,0.025743,2.506021,200.48,150.6
88,2.376619,2.412268,0.009649,2.402619,0.026,2.532021,202.56,153.2
89,2.400385,2.436391,0.009746,2.426645,0.02626,2.558281,204.66,155.83
90,2.424389,2.460755,0.009843,2.450912,0.026523,2.584804,206.78,158.48
91,2.448633,2.485362,0.009941,2.475421,0.026788,2.611592,208.93,161.16
92,2.473119,2.510216,0.010041,2.500175,0.027056,2.638648,211.09,163.86
93,2.49785,2.535318,0.010141,2.525177,0.027326,2.665975,213.28,166.6
94,2.522829,2.560671,0.010243,2.550428,0.0276,2.693574,215.49,169.36
95,2.548057,2.586278,0.010345,2.575933,0.027876,2.72145,217.72,172.15
96,2.573538,2.612141,0.010449,2.601692,0.028155,2.749605,219.97,174.96
97,2.599273,2.638262,0.010553,2.627709,0.028436,2.778041,222.24,177.8
98,2.625266,2.664645,0.010659,2.653986,0.02872,2.806761,224.54,180.68
99,2.651518,2.691291,0.010765,2.680526,0.029008,2.835769,226.86,183.58
100,2.678033,2.718204,0.010873,2.707331,0.029298,2.865066,229.21,186.51
101,2.704814,2.745386,0.010982,2.734404,0.029591,2.894657,231.57,189.47
102,2.731862,2.77284,0.011091,2.761749,0.029887,2.924544,233.96,192.45
103,2.759181,2.800568,0.011202,2.789366,0.030185,2.954729,236.38,195.47
104,2.786772,2.828574,0.011314,2.81726,0.030487,2.985216,238.82,198.52
105,2.81464,2.85686,0.011427,2.845432,0.030792,3.016008,241.28,201.6
106,2.842787,2.885428,0.011542,2.873887,0.0311,3.047109,243.77,204.71
107,2.871214,2.914283,0.011657,2.902625,0.031411,3.07852,246.28,207.85
108,2.899927,2.943425,0.011774,2.931652,0.031725,3.110245,248.82,211.02
109,2.928926,2.97286,0.011891,2.960968,0.032042,3.142287,251.38,214.23
110,2.958215,3.002588,0.01201,2.990578,0.032363,3.17465,253.97,217.47
111,2.987797,3.032614,0.01213,3.020484,0.032687,3.207337,256.59,220.73
